game_id,game_date,opponent,cluster,segment_name,business_recommendation,total_revenue,tickets_sold,sell_through_rate,avg_ticket_price,promotion_usage_rate,cart_abandonment_rate
1,2025-10-20,PHX,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2623076438.32,14234372,790.7984444444445,184.62542291802563,0.1041530767558164,0.4663299663299663
2,2025-10-24,NYK,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4493168687.04,21793600,1210.7555555555557,205.6448116938951,0.0964746345657781,0.529331514324693
3,2025-10-28,OKC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2610841047.2,14193688,788.5382222222222,183.95204506065855,0.0946707105719237,0.4892205638474295
4,2025-11-01,SAC,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3417844260.4,17551320,975.0733333333334,194.17341872465903,0.1021009952082565,0.4733542319749216
5,2025-11-05,DAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3517848875.24,18365984,1020.3324444444444,191.8340523338048,0.0938826025459688,0.4937888198757764
6,2025-11-09,PHX,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3793089226.08,19684016,1093.5564444444444,193.4258724597057,0.102312543798178,0.5089820359281437
7,2025-11-13,MIL,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2640599500.0,14464800,803.6,181.6632623655914,0.1023655913978494,0.4746317512274959
8,2025-11-17,BOS,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3517437985.8,17988860,999.3811111111112,198.08316107644305,0.1078393135725429,0.4931506849315068
9,2025-11-21,PHX,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3997535908.8,20050288,1113.904888888889,199.64569493820892,0.1005586592178771,0.4953416149068322
10,2025-11-25,OKC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2727190591.36,14086812,782.6006666666667,192.14419139784945,0.1055913978494623,0.475873544093178
11,2025-11-29,OKC,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3799773757.04,18805096,1044.7275555555557,202.41953350144092,0.0963616714697406,0.471841704718417
12,2025-12-03,SAC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2450016081.4,13290120,738.34,185.47691833590136,0.0904688531807175,0.4915824915824915
13,2025-12-07,DAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4276026331.36,21371840,1187.3244444444445,200.4073957814317,0.1019764158777611,0.4761904761904761
14,2025-12-11,NYK,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3272435861.28,16798576,933.2542222222222,195.02738321536907,0.098685540950455,0.505524861878453
15,2025-12-15,SAC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2627827569.0,13792620,766.2566666666667,189.18064783347492,0.102803738317757,0.505050505050505
16,2025-12-19,SAC,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3601421462.4,17913920,995.2177777777778,201.48254395604397,0.0961538461538461,0.5038759689922481
17,2025-12-23,BOS,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3770404922.04,18813316,1045.1842222222222,201.54647955390337,0.1074349442379182,0.4838709677419355
18,2025-12-27,DEN,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4258908384.0,20505600,1139.2,206.98318212824012,0.0980559345156889,0.5034770514603616
19,2025-12-31,DAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3139869712.28,16205280,900.2933333333333,193.5571137144011,0.0985659462734801,0.4890190336749633
20,2026-01-04,GSW,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4998727364.0,23054560,1280.808888888889,216.4832054329372,0.098811544991511,0.5197452229299363
21,2026-01-08,SAC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2618726985.8,14295120,794.1733333333333,184.0457423084865,0.0976667354945281,0.4910071942446042
22,2026-01-12,SAS,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2279638600.24,12856027,714.2237222222222,177.82356925749022,0.0955275727312201,0.5
23,2026-01-16,DEN,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4220126096.0,20912000,1161.7777777777778,201.54232897384307,0.1042924211938296,0.5380200860832138
24,2026-01-20,GSW,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3735879590.4,18402440,1022.3577777777778,203.99678140454995,0.0915924826904055,0.4679487179487179
25,2026-01-24,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",2122098437.32,12125272,673.6262222222222,174.21002251745102,0.3512722359828867,0.504149377593361
26,2026-01-28,DAL,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2980153470.28,15561224,864.5124444444444,190.28508303552655,0.1015345806180365,0.5336322869955157
27,2026-02-01,LAL,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,5330966091.2,24530880,1362.8266666666666,217.67539695666557,0.1010585511081706,0.4866743916570104
28,2026-02-05,SAS,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1976399340.64,11396517,633.1398333333333,173.81913372781065,0.0991715976331361,0.4970178926441352
29,2026-02-09,MIL,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2838622556.0,14680400,815.5777777777778,192.3551376918226,0.1036367458482236,0.5048701298701299
30,2026-02-13,DEN,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4150184560.0,20248000,1124.888888888889,205.1532840493999,0.1048878065750565,0.4970501474926253
31,2026-02-17,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1884481615.44,10739064,596.6146666666667,175.9668083590596,0.3367371170743291,0.5197368421052632
32,2026-02-21,MIA,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",2138183941.92,12419186,689.9547777777777,172.42677638797454,0.3561553653719552,0.4896694214876033
33,2026-02-25,LAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3804304455.0,18375300,1020.85,206.52329231389953,0.1079281823683679,0.5112781954887218
34,2026-03-01,OKC,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3717078794.32,18621736,1034.540888888889,198.77824339007609,0.0981528431727634,0.5087999999999999
35,2026-03-05,OKC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2607341885.32,14324160,795.7866666666666,183.19833227914825,0.0978283786632932,0.497504159733777
36,2026-03-09,MIL,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2963091908.0,16317000,906.5,180.55726963103123,0.1002838221381267,0.4959216965742251
37,2026-03-13,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1741604239.76,10674048,593.0026666666666,163.4821610915493,0.3505721830985915,0.4741144414168937
38,2026-03-17,SAS,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2226765652.36,12986585,721.4769444444445,172.64661667023785,0.1002785515320334,0.5282258064516129
39,2026-03-21,BOS,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4426190311.04,20511184,1139.5102222222222,215.62358082706768,0.1030075187969924,0.4967148488830486
40,2026-03-25,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1669989736.8,10441332,580.074,159.666838357465,0.348920009494422,0.4880174291938998
41,2026-03-29,PHX,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3886482750.56,19732128,1096.2293333333334,197.35260062456624,0.0985426786953504,0.465288035450517
